arm,seed,metric,value
scalar-qkpre,789,entropy_normalized,0.5836166143417358
scalar-qkpre,789,attended_distance_tokens,85.11703491210938
scalar-qkpre,789,attended_distance_fraction,0.20495876669883728
scalar-qkpre,789,first_token_mass,0.023297417908906937
scalar-qkpre,789,distance_mass_0,0.07202214002609253
scalar-qkpre,789,distance_mass_1_3,0.2251572608947754
scalar-qkpre,789,distance_mass_4_15,0.18574360013008118
scalar-qkpre,789,distance_mass_16_63,0.1922861486673355
scalar-qkpre,789,distance_mass_64_255,0.21718136966228485
scalar-qkpre,789,distance_mass_256_plus,0.10760969668626785
scalar-qkpre,789,query_corr_entropy,0.34857967495918274
scalar-qkpre,789,query_corr_distance_fraction,-0.4981578588485718
scalar-qkpre,789,query_corr_first_token_mass,-0.43175387382507324
scalar-qkpre,789,logit_cc_centered_rms,1.2997207641601562
scalar-qkpre,789,logit_cp_centered_rms,0.3478708267211914
scalar-qkpre,789,logit_pc_centered_rms,0.4563210606575012
scalar-qkpre,789,logit_pp_centered_rms,0.3216680884361267
scalar-qkpre,789,logit_position_total_centered_rms,0.849899172782898
scalar-qkpre,789,logit_total_centered_rms,1.9350706338882446
scalar-qkpre,789,logit_position_total_cosine,0.8300709128379822
scalar-qkpre,789,attention_kl_full_vs_content_only,0.6977209448814392
qk-readout-r32,123,entropy_normalized,0.5756092071533203
qk-readout-r32,123,attended_distance_tokens,88.86511993408203
qk-readout-r32,123,attended_distance_fraction,0.21490907669067383
qk-readout-r32,123,first_token_mass,0.031422000378370285
qk-readout-r32,123,distance_mass_0,0.06890690326690674
qk-readout-r32,123,distance_mass_1_3,0.21387426555156708
qk-readout-r32,123,distance_mass_4_15,0.179349884390831
qk-readout-r32,123,distance_mass_16_63,0.19714324176311493
qk-readout-r32,123,distance_mass_64_255,0.22912898659706116
qk-readout-r32,123,distance_mass_256_plus,0.11159737408161163
qk-readout-r32,123,query_corr_entropy,0.35544353723526
qk-readout-r32,123,query_corr_distance_fraction,-0.5290798544883728
qk-readout-r32,123,query_corr_first_token_mass,-0.43302297592163086
qk-readout-r32,123,logit_cc_centered_rms,0.9225626587867737
qk-readout-r32,123,logit_cp_centered_rms,0.5442476272583008
qk-readout-r32,123,logit_pc_centered_rms,1.1012576818466187
qk-readout-r32,123,logit_pp_centered_rms,1.135999083518982
qk-readout-r32,123,logit_position_total_centered_rms,1.645590901374817
qk-readout-r32,123,logit_total_centered_rms,1.9802486896514893
qk-readout-r32,123,logit_position_total_cosine,0.8627861738204956
qk-readout-r32,123,attention_kl_full_vs_content_only,1.9135059118270874
qk-readout-r32,456,entropy_normalized,0.5707620978355408
qk-readout-r32,456,attended_distance_tokens,86.67782592773438
qk-readout-r32,456,attended_distance_fraction,0.20910890400409698
qk-readout-r32,456,first_token_mass,0.030674748122692108
qk-readout-r32,456,distance_mass_0,0.06835377961397171
qk-readout-r32,456,distance_mass_1_3,0.22227400541305542
qk-readout-r32,456,distance_mass_4_15,0.17929428815841675
qk-readout-r32,456,distance_mass_16_63,0.19765472412109375
qk-readout-r32,456,distance_mass_64_255,0.2250659018754959
qk-readout-r32,456,distance_mass_256_plus,0.1073574423789978
qk-readout-r32,456,query_corr_entropy,0.3431171774864197
qk-readout-r32,456,query_corr_distance_fraction,-0.5192458629608154
qk-readout-r32,456,query_corr_first_token_mass,-0.41485148668289185
